,Made Donation in March 2007
659,0.635859668
276,0.211498796
263,0.503870593
303,0.47924368
83,0.659415888
500,0.820591749
530,0.528735856
244,0.275061283
249,0.062026239
728,0.194543588
129,0.328167289
534,0.301192462
317,0.465631618
401,0.503870593
696,0.496014963
192,0.337664274
176,0.401093867
571,0.59854391
139,0.166426986
423,0.505620593
563,0.599815183
56,0.512037322
528,0.549678801
101,0.503870593
467,0.467861597
382,0.498994771
466,0.54411236
294,0.275061283
512,0.508638247
659,0.635859668
389,0.519846623
487,0.096805405
701,0.552900739
419,0.450797717
536,0.391683245
240,0.414268497
508,0.432086339
515,0.275061283
283,0.538229668
650,0.503870593
65,0.570028765
228,0.278235482
741,0.161973142
297,0.562310724
464,0.264042618
63,0.552900739
231,0.540948297
28,0.252542958
248,0.275061283
357,0.314134294
300,0.664089334
726,0.749681369
680,0.308870189
520,0.497031237
254,0.121238842
582,0.356186666
143,0.421721536
98,0.576585917
1,0.503970364
221,0.66286767
352,0.503870593
64,0.273018609
138,0.434515642
745,0.573665792
64,0.273018609
688,0.225916596
623,0.265316648
289,0.307923246
174,0.504014912
690,0.503870593
105,0.346247964
427,0.274421332
48,0.03448706
14,0.503870593
657,0.120077783
301,0.294912587
455,0.272884571
579,0.475203647
722,0.245568358
98,0.576585917
491,0.03448706
303,0.47924368
466,0.54411236
65,0.570028765
300,0.664089334
9,0.159990828
622,0.337664274
323,0.228552039
289,0.307923246
568,0.537667945
290,0.503870593
156,0.353124044
464,0.264042618
426,0.256084338
306,0.370438612
4,0.464284232
12,0.532123789
187,0.429558082
406,0.145114438
96,0.528735856
509,0.552900739
733,0.292933385
548,0.158525604
478,0.42512329
501,0.343175446
127,0.592928382
199,0.359092879
299,0.599477577
162,0.503870593
235,0.260788274
23,0.381714628
473,0.503870593
487,0.096805405
683,0.587197706
303,0.47924368
309,0.11596097
569,0.135262168
34,0.562866849
686,0.730863633
84,0.499202012
733,0.292933385
537,0.618219382
181,0.327359501
453,0.853004116
67,0.588620007
161,0.627274922
307,0.470799688
703,0.36028373
181,0.327359501
246,0.295357175
316,0.541677122
278,0.337664274
346,0.369449513
545,0.503870593
419,0.450797717
694,0.528735856
622,0.337664274
663,0.189987052
262,0.722559851
461,0.466811389
373,0.914757074
233,0.503870593
466,0.54411236
207,0.421721536
263,0.503870593
16,0.135262168
513,0.137508714
449,0.494647189
429,0.096096841
701,0.552900739
632,0.13483392
529,0.670164532
245,0.448383075
344,0.263418988
353,0.266616272
241,0.495073961
633,0.237577246
624,0.552900739
726,0.749681369
189,0.337664274
138,0.434515642
402,0.275061283
511,0.556818499
590,0.553503367
334,0.416089015
447,0.185862754
119,0.54411236
389,0.519846623
644,0.503870593
423,0.505620593
131,0.135262168
405,0.028498524
82,0.503870593
643,0.940200107
156,0.353124044
617,0.152611369
574,0.576034099
272,0.478033002
613,0.2333521
545,0.503870593
685,0.275061283
570,0.353073586
537,0.618219382
691,0.237577246
85,0.626852724
483,0.295357175
455,0.272884571
93,0.337664274
744,0.552900739
33,0.295357175
321,0.801540842
523,0.429859033
426,0.256084338
196,0.250746982
301,0.294912587
103,0.237577246
224,0.169563262
454,0.181934908
585,0.138158931
154,0.527684505
